icd103,chapter,l1,l2
G57,VI Diseases of the nervous system,Nerve; nerve root and plexus disorders,Mononeuropathies of lower limb
G58,VI Diseases of the nervous system,Nerve; nerve root and plexus disorders,Other mononeuropathies
G59,VI Diseases of the nervous system,Nerve; nerve root and plexus disorders,Mononeuropathy in diseases classified elsewhere
G60,VI Diseases of the nervous system,Polyneuropathies and other disorders of the peripheral nervous system,Hereditary and idiopathic neuropathy
G61,VI Diseases of the nervous system,Polyneuropathies and other disorders of the peripheral nervous system,Inflammatory polyneuropathy
G62,VI Diseases of the nervous system,Polyneuropathies and other disorders of the peripheral nervous system,Other polyneuropathies
G63,VI Diseases of the nervous system,Polyneuropathies and other disorders of the peripheral nervous system,Polyneuropathy in diseases classified elsewhere
G64,VI Diseases of the nervous system,Polyneuropathies and other disorders of the peripheral nervous system,Other disorders of peripheral nervous system
G70,VI Diseases of the nervous system,Diseases of myoneural junction and muscle,Myasthenia gravis and other myoneural disorders
G71,VI Diseases of the nervous system,Diseases of myoneural junction and muscle,Primary disorders of muscles
G72,VI Diseases of the nervous system,Diseases of myoneural junction and muscle,Other myopathies
G73,VI Diseases of the nervous system,Diseases of myoneural junction and muscle,Disorders of myoneural junction and muscle in diseases classified elsewhere
G80,VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,Cerebral palsy
G81,VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,Hemiplegia
G82,VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,Paraplegia and tetraplegia
G83,VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,Other paralytic syndromes
G90,VI Diseases of the nervous system,Other disorders of the nervous system,Disorders of autonomic nervous system
G91,VI Diseases of the nervous system,Other disorders of the nervous system,Hydrocephalus
G92,VI Diseases of the nervous system,Other disorders of the nervous system,Toxic encephalopathy
G93,VI Diseases of the nervous system,Other disorders of the nervous system,Other disorders of brain
G94,VI Diseases of the nervous system,Other disorders of the nervous system,Other disorders of brain in diseases classified elsewhere
G95,VI Diseases of the nervous system,Other disorders of the nervous system,Other diseases of spinal cord
G96,VI Diseases of the nervous system,Other disorders of the nervous system,Other disorders of central nervous system
G97,VI Diseases of the nervous system,Other disorders of the nervous system,Postprocedural disorders of nervous system; not elsewhere classified
G98,VI Diseases of the nervous system,Other disorders of the nervous system,Other disorders of nervous system; not elsewhere classified
G99,VI Diseases of the nervous system,Other disorders of the nervous system,Other disorders of nervous system in diseases classified elsewhere
H00,VII Diseases of the eye and adnexa,Disorders of eyelid; lacrimal system and orbit,Hordeolum and chalazion
H01,VII Diseases of the eye and adnexa,Disorders of eyelid; lacrimal system and orbit,Other inflammation of eyelid
H02,VII Diseases of the eye and adnexa,Disorders of eyelid; lacrimal system and orbit,Other disorders of eyelid
H03,VII Diseases of the eye and adnexa,Disorders of eyelid; lacrimal system and orbit,Disorders of eyelid in diseases classified elsewhere
H04,VII Diseases of the eye and adnexa,Disorders of eyelid; lacrimal system and orbit,Disorders of lacrimal system
H05,VII Diseases of the eye and adnexa,Disorders of eyelid; lacrimal system and orbit,Disorders of orbit
H06,VII Diseases of the eye and adnexa,Disorders of eyelid; lacrimal system and orbit,Disorders of lacrimal system and orbit in diseases classified elsewhere
H10,VII Diseases of the eye and adnexa,Disorders of conjunctiva,Conjunctivitis
H11,VII Diseases of the eye and adnexa,Disorders of conjunctiva,Other disorders of conjunctiva
H12,VII Diseases of the eye and adnexa,Disorders of conjunctiva,TBC
H13,VII Diseases of the eye and adnexa,Disorders of conjunctiva,Disorders of conjunctiva in diseases classified elsewhere
H15,VII Diseases of the eye and adnexa,Disorders of sclera; cornea; iris and ciliary body,Disorders of sclera
H16,VII Diseases of the eye and adnexa,Disorders of sclera; cornea; iris and ciliary body,Keratitis
H17,VII Diseases of the eye and adnexa,Disorders of sclera; cornea; iris and ciliary body,Corneal scars and opacities
H18,VII Diseases of the eye and adnexa,Disorders of sclera; cornea; iris and ciliary body,Other disorders of cornea
H19,VII Diseases of the eye and adnexa,Disorders of sclera; cornea; iris and ciliary body,Disorders of sclera and cornea in diseases classified elsewhere
H20,VII Diseases of the eye and adnexa,Disorders of sclera; cornea; iris and ciliary body,Iridocyclitis
H21,VII Diseases of the eye and adnexa,Disorders of sclera; cornea; iris and ciliary body,Other disorders of iris and ciliary body
H22,VII Diseases of the eye and adnexa,Disorders of sclera; cornea; iris and ciliary body,Disorders of iris and ciliary body in diseases classified elsewhere
H25,VII Diseases of the eye and adnexa,Disorders of lens,Senile cataract
H26,VII Diseases of the eye and adnexa,Disorders of lens,Other cataract
H27,VII Diseases of the eye and adnexa,Disorders of lens,Other disorders of lens
H28,VII Diseases of the eye and adnexa,Disorders of lens,Cataract and other disorders of lens in diseases classified elsewhere
H30,VII Diseases of the eye and adnexa,Disorders of choroid and retina,Chorioretinal inflammation
H31,VII Diseases of the eye and adnexa,Disorders of choroid and retina,Other disorders of choroid
H32,VII Diseases of the eye and adnexa,Disorders of choroid and retina,Chorioretinal disorders in diseases classified elsewhere
H33,VII Diseases of the eye and adnexa,Disorders of choroid and retina,Retinal detachments and breaks
H34,VII Diseases of the eye and adnexa,Disorders of choroid and retina,Retinal vascular occlusions
H35,VII Diseases of the eye and adnexa,Disorders of choroid and retina,Other retinal disorders
H36,VII Diseases of the eye and adnexa,Disorders of choroid and retina,Retinal disorders in diseases classified elsewhere
H40,VII Diseases of the eye and adnexa,Glaucoma,Glaucoma
H41,VII Diseases of the eye and adnexa,Glaucoma,TBC
H42,VII Diseases of the eye and adnexa,Glaucoma,Glaucoma in diseases classified elsewhere
H43,VII Diseases of the eye and adnexa,Disorders of vitreous body and globe,Disorders of vitreous body
H44,VII Diseases of the eye and adnexa,Disorders of vitreous body and globe,Disorders of globe
H45,VII Diseases of the eye and adnexa,Disorders of vitreous body and globe,Disorders of vitreous body and globe in diseases classified elsewhere
H46,VII Diseases of the eye and adnexa,Disorders of optic nerve and visual pathways,Optic neuritis
H47,VII Diseases of the eye and adnexa,Disorders of optic nerve and visual pathways,Other disorders of optic [2nd] nerve and visual pathways
H48,VII Diseases of the eye and adnexa,Disorders of optic nerve and visual pathways,Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere
H49,VII Diseases of the eye and adnexa,Disorders of ocular muscles; binocular movement; accommodation and refraction,Paralytic strabismus
H50,VII Diseases of the eye and adnexa,Disorders of ocular muscles; binocular movement; accommodation and refraction,Other strabismus
H51,VII Diseases of the eye and adnexa,Disorders of ocular muscles; binocular movement; accommodation and refraction,Other disorders of binocular movement
H52,VII Diseases of the eye and adnexa,Disorders of ocular muscles; binocular movement; accommodation and refraction,Disorders of refraction and accommodation
H53,VII Diseases of the eye and adnexa,Visual disturbances and blindness,Visual disturbances
H54,VII Diseases of the eye and adnexa,Visual disturbances and blindness,Visual impairment including blindness (binocular or monocular)
H55,VII Diseases of the eye and adnexa,Other disorders of eye and adnexa,Nystagmus and other irregular eye movements
H56,VII Diseases of the eye and adnexa,Other disorders of eye and adnexa,TBC
H57,VII Diseases of the eye and adnexa,Other disorders of eye and adnexa,Other disorders of eye and adnexa
H58,VII Diseases of the eye and adnexa,Other disorders of eye and adnexa,Other disorders of eye and adnexa in diseases classified elsewhere
H59,VII Diseases of the eye and adnexa,Other disorders of eye and adnexa,Postprocedural disorders of eye and adnexa; not elsewhere classified
H60,VIII Diseases of the ear and mastoid process,Diseases of external ear,Otitis externa
H61,VIII Diseases of the ear and mastoid process,Diseases of external ear,Other disorders of external ear
H62,VIII Diseases of the ear and mastoid process,Diseases of external ear,Disorders of external ear in diseases classified elsewhere
H65,VIII Diseases of the ear and mastoid process,Diseases of middle ear and mastoid,Nonsuppurative otitis media
H66,VIII Diseases of the ear and mastoid process,Diseases of middle ear and mastoid,Suppurative and unspecified otitis media
H67,VIII Diseases of the ear and mastoid process,Diseases of middle ear and mastoid,Otitis media in diseases classified elsewhere
H68,VIII Diseases of the ear and mastoid process,Diseases of middle ear and mastoid,Eustachian salpingitis and obstruction
H69,VIII Diseases of the ear and mastoid process,Diseases of middle ear and mastoid,Other disorders of Eustachian tube
H70,VIII Diseases of the ear and mastoid process,Diseases of middle ear and mastoid,Mastoiditis and related conditions
H71,VIII Diseases of the ear and mastoid process,Diseases of middle ear and mastoid,Cholesteatoma of middle ear
H72,VIII Diseases of the ear and mastoid process,Diseases of middle ear and mastoid,Perforation of tympanic membrane
H73,VIII Diseases of the ear and mastoid process,Diseases of middle ear and mastoid,Other disorders of tympanic membrane
H74,VIII Diseases of the ear and mastoid process,Diseases of middle ear and mastoid,Other disorders of middle ear and mastoid
H75,VIII Diseases of the ear and mastoid process,Diseases of middle ear and mastoid,Other disorders of middle ear and mastoid in diseases classified elsewhere
H80,VIII Diseases of the ear and mastoid process,Diseases of inner ear,Otosclerosis
H81,VIII Diseases of the ear and mastoid process,Diseases of inner ear,Disorders of vestibular function
H82,VIII Diseases of the ear and mastoid process,Diseases of inner ear,TBC
H83,VIII Diseases of the ear and mastoid process,Diseases of inner ear,Other diseases of inner ear
H90,VIII Diseases of the ear and mastoid process,Other disorders of ear,Conductive and sensorineural hearing loss
H91,VIII Diseases of the ear and mastoid process,Other disorders of ear,Other hearing loss
H92,VIII Diseases of the ear and mastoid process,Other disorders of ear,Otalgia and effusion of ear
H93,VIII Diseases of the ear and mastoid process,Other disorders of ear,Other disorders of ear; not elsewhere classified
H94,VIII Diseases of the ear and mastoid process,Other disorders of ear,Other disorders of ear in diseases classified elsewhere
H95,VIII Diseases of the ear and mastoid process,Other disorders of ear,Postprocedural disorders of ear and mastoid process; not elsewhere classified
I00,IX Diseases of the circulatory system,Acute rheumatic fever,Rheumatic fever without mention of heart involvement
I01,IX Diseases of the circulatory system,Acute rheumatic fever,Rheumatic fever with heart involvement
I02,IX Diseases of the circulatory system,Acute rheumatic fever,Rheumatic chorea
I05,IX Diseases of the circulatory system,Chronic rheumatic heart diseases,Rheumatic mitral valve diseases
I06,IX Diseases of the circulatory system,Chronic rheumatic heart diseases,Rheumatic aortic valve diseases
I07,IX Diseases of the circulatory system,Chronic rheumatic heart diseases,Rheumatic tricuspid valve diseases
I08,IX Diseases of the circulatory system,Chronic rheumatic heart diseases,Multiple valve diseases
I09,IX Diseases of the circulatory system,Chronic rheumatic heart diseases,Other rheumatic heart diseases
I10,IX Diseases of the circulatory system,Hypertensive diseases,Essential (primary) hypertension
I11,IX Diseases of the circulatory system,Hypertensive diseases,Hypertensive heart disease
I12,IX Diseases of the circulatory system,Hypertensive diseases,Hypertensive renal disease
I13,IX Diseases of the circulatory system,Hypertensive diseases,Hypertensive heart and renal disease
I14,IX Diseases of the circulatory system,Hypertensive diseases,TBC
I15,IX Diseases of the circulatory system,Hypertensive diseases,Secondary hypertension
I20,IX Diseases of the circulatory system,Ischaemic heart diseases,Angina pectoris
I21,IX Diseases of the circulatory system,Ischaemic heart diseases,Acute myocardial infarction
I22,IX Diseases of the circulatory system,Ischaemic heart diseases,Subsequent myocardial infarction
I23,IX Diseases of the circulatory system,Ischaemic heart diseases,Certain current complications following acute myocardial infarction
I24,IX Diseases of the circulatory system,Ischaemic heart diseases,Other acute ischaemic heart diseases
I25,IX Diseases of the circulatory system,Ischaemic heart diseases,Chronic ischaemic heart disease
I26,IX Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation,Pulmonary embolism
I27,IX Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation,Other pulmonary heart diseases
I28,IX Diseases of the circulatory system,Pulmonary heart disease and diseases of pulmonary circulation,Other diseases of pulmonary vessels
I30,IX Diseases of the circulatory system,Other forms of heart disease,Acute pericarditis
I31,IX Diseases of the circulatory system,Other forms of heart disease,Other diseases of pericardium
I32,IX Diseases of the circulatory system,Other forms of heart disease,Pericarditis in diseases classified elsewhere
I33,IX Diseases of the circulatory system,Other forms of heart disease,Acute and subacute endocarditis
I34,IX Diseases of the circulatory system,Other forms of heart disease,Nonrheumatic mitral valve disorders
I35,IX Diseases of the circulatory system,Other forms of heart disease,Nonrheumatic aortic valve disorders
I36,IX Diseases of the circulatory system,Other forms of heart disease,Nonrheumatic tricuspid valve disorders
I37,IX Diseases of the circulatory system,Other forms of heart disease,Pulmonary valve disorders
I38,IX Diseases of the circulatory system,Other forms of heart disease,Endocarditis; valve unspecified
I39,IX Diseases of the circulatory system,Other forms of heart disease,Endocarditis and heart valve disorders in diseases classified elsewhere
I40,IX Diseases of the circulatory system,Other forms of heart disease,Acute myocarditis
I41,IX Diseases of the circulatory system,Other forms of heart disease,Myocarditis in diseases classified elsewhere
I42,IX Diseases of the circulatory system,Other forms of heart disease,Cardiomyopathy
I43,IX Diseases of the circulatory system,Other forms of heart disease,Cardiomyopathy in diseases classified elsewhere
I44,IX Diseases of the circulatory system,Other forms of heart disease,Atrioventricular and left bundle-branch block
I45,IX Diseases of the circulatory system,Other forms of heart disease,Other conduction disorders
I46,IX Diseases of the circulatory system,Other forms of heart disease,Cardiac arrest
I47,IX Diseases of the circulatory system,Other forms of heart disease,Paroxysmal tachycardia
I48,IX Diseases of the circulatory system,Other forms of heart disease,Atrial fibrillation and flutter
I49,IX Diseases of the circulatory system,Other forms of heart disease,Other cardiac arrhythmias
I50,IX Diseases of the circulatory system,Other forms of heart disease,Heart failure
I51,IX Diseases of the circulatory system,Other forms of heart disease,Complications and ill-defined descriptions of heart disease
I52,IX Diseases of the circulatory system,Other forms of heart disease,Other heart disorders in diseases classified elsewhere
I60,IX Diseases of the circulatory system,Cerebrovascular diseases,Subarachnoid haemorrhage
I61,IX Diseases of the circulatory system,Cerebrovascular diseases,Intracerebral haemorrhage
I62,IX Diseases of the circulatory system,Cerebrovascular diseases,Other nontraumatic intracranial haemorrhage
I63,IX Diseases of the circulatory system,Cerebrovascular diseases,Cerebral infarction
I64,IX Diseases of the circulatory system,Cerebrovascular diseases,Stroke; not specified as haemorrhage or infarction
I65,IX Diseases of the circulatory system,Cerebrovascular diseases,Occlusion and stenosis of precerebral arteries; not resulting in cerebral infarction
I66,IX Diseases of the circulatory system,Cerebrovascular diseases,Occlusion and stenosis of cerebral arteries; not resulting in cerebral infarction
I67,IX Diseases of the circulatory system,Cerebrovascular diseases,Other cerebrovascular diseases
I68,IX Diseases of the circulatory system,Cerebrovascular diseases,Cerebrovascular disorders in diseases classified elsewhere
I69,IX Diseases of the circulatory system,Cerebrovascular diseases,Sequelae of cerebrovascular disease
I70,IX Diseases of the circulatory system,Diseases of arteries; arterioles and capillaries,Atherosclerosis
I71,IX Diseases of the circulatory system,Diseases of arteries; arterioles and capillaries,Aortic aneurysm and dissection
I72,IX Diseases of the circulatory system,Diseases of arteries; arterioles and capillaries,Other aneurysm and dissection
I73,IX Diseases of the circulatory system,Diseases of arteries; arterioles and capillaries,Other peripheral vascular diseases
I74,IX Diseases of the circulatory system,Diseases of arteries; arterioles and capillaries,Arterial embolism and thrombosis
I75,IX Diseases of the circulatory system,Diseases of arteries; arterioles and capillaries,TBC
I76,IX Diseases of the circulatory system,Diseases of arteries; arterioles and capillaries,TBC
I77,IX Diseases of the circulatory system,Diseases of arteries; arterioles and capillaries,Other disorders of arteries and arterioles
I78,IX Diseases of the circulatory system,Diseases of arteries; arterioles and capillaries,Diseases of capillaries
I79,IX Diseases of the circulatory system,Diseases of arteries; arterioles and capillaries,Disorders of arteries; arterioles and capillaries in diseases classified elsewhere
I80,IX Diseases of the circulatory system,Diseases of veins; lymphatic vessels and lymph nodes; not elsewhere classified,Phlebitis and thrombophlebitis
I81,IX Diseases of the circulatory system,Diseases of veins; lymphatic vessels and lymph nodes; not elsewhere classified,Portal vein thrombosis
I82,IX Diseases of the circulatory system,Diseases of veins; lymphatic vessels and lymph nodes; not elsewhere classified,Other venous embolism and thrombosis
I83,IX Diseases of the circulatory system,Diseases of veins; lymphatic vessels and lymph nodes; not elsewhere classified,Varicose veins of lower extremities
I84,IX Diseases of the circulatory system,Diseases of veins; lymphatic vessels and lymph nodes; not elsewhere classified,TBC
I85,IX Diseases of the circulatory system,Diseases of veins; lymphatic vessels and lymph nodes; not elsewhere classified,Oesophageal varices
I86,IX Diseases of the circulatory system,Diseases of veins; lymphatic vessels and lymph nodes; not elsewhere classified,Varicose veins of other sites
I87,IX Diseases of the circulatory system,Diseases of veins; lymphatic vessels and lymph nodes; not elsewhere classified,Other disorders of veins
I88,IX Diseases of the circulatory system,Diseases of veins; lymphatic vessels and lymph nodes; not elsewhere classified,Nonspecific lymphadenitis
I89,IX Diseases of the circulatory system,Diseases of veins; lymphatic vessels and lymph nodes; not elsewhere classified,Other noninfective disorders of lymphatic vessels and lymph nodes
I95,IX Diseases of the circulatory system,Other and unspecified disorders of the circulatory system,Hypotension
I96,IX Diseases of the circulatory system,Other and unspecified disorders of the circulatory system,TBC
I97,IX Diseases of the circulatory system,Other and unspecified disorders of the circulatory system,Postprocedural disorders of circulatory system; not elsewhere classified
I98,IX Diseases of the circulatory system,Other and unspecified disorders of the circulatory system,Other disorders of circulatory system in diseases classified elsewhere
I99,IX Diseases of the circulatory system,Other and unspecified disorders of the circulatory system,Other and unspecified disorders of circulatory system
J00,X Diseases of the respiratory system,Acute upper respiratory infections,Acute nasopharyngitis [common cold]
J01,X Diseases of the respiratory system,Acute upper respiratory infections,Acute sinusitis
J02,X Diseases of the respiratory system,Acute upper respiratory infections,Acute pharyngitis
J03,X Diseases of the respiratory system,Acute upper respiratory infections,Acute tonsillitis
J04,X Diseases of the respiratory system,Acute upper respiratory infections,Acute laryngitis and tracheitis
J05,X Diseases of the respiratory system,Acute upper respiratory infections,Acute obstructive laryngitis [croup] and epiglottitis
J06,X Diseases of the respiratory system,Acute upper respiratory infections,Acute upper respiratory infections of multiple and unspecified sites
J09,X Diseases of the respiratory system,Influenza and pneumonia,Influenza due to identified avian influenza virus
J10,X Diseases of the respiratory system,Influenza and pneumonia,Influenza due to other identified influenza virus
J11,X Diseases of the respiratory system,Influenza and pneumonia,Influenza; virus not identified
J12,X Diseases of the respiratory system,Influenza and pneumonia,Viral pneumonia; not elsewhere classified
J13,X Diseases of the respiratory system,Influenza and pneumonia,Pneumonia due to Streptococcus pneumoniae
J14,X Diseases of the respiratory system,Influenza and pneumonia,Pneumonia due to Haemophilus influenzae
J15,X Diseases of the respiratory system,Influenza and pneumonia,Bacterial pneumonia; not elsewhere classified
J16,X Diseases of the respiratory system,Influenza and pneumonia,Pneumonia due to other infectious organisms; not elsewhere classified
J17,X Diseases of the respiratory system,Influenza and pneumonia,Pneumonia in diseases classified elsewhere
J18,X Diseases of the respiratory system,Influenza and pneumonia,Pneumonia; organism unspecified
J20,X Diseases of the respiratory system,Other acute lower respiratory infections,Acute bronchitis
J21,X Diseases of the respiratory system,Other acute lower respiratory infections,Acute bronchiolitis
J22,X Diseases of the respiratory system,Other acute lower respiratory infections,Unspecified acute lower respiratory infection
J30,X Diseases of the respiratory system,Other diseases of upper respiratory tract,Vasomotor and allergic rhinitis
J31,X Diseases of the respiratory system,Other diseases of upper respiratory tract,Chronic rhinitis; nasopharyngitis and pharyngitis
J32,X Diseases of the respiratory system,Other diseases of upper respiratory tract,Chronic sinusitis
J33,X Diseases of the respiratory system,Other diseases of upper respiratory tract,Nasal polyp
J34,X Diseases of the respiratory system,Other diseases of upper respiratory tract,Other disorders of nose and nasal sinuses
J35,X Diseases of the respiratory system,Other diseases of upper respiratory tract,Chronic diseases of tonsils and adenoids
J36,X Diseases of the respiratory system,Other diseases of upper respiratory tract,Peritonsillar abscess
J37,X Diseases of the respiratory system,Other diseases of upper respiratory tract,Chronic laryngitis and laryngotracheitis
J38,X Diseases of the respiratory system,Other diseases of upper respiratory tract,Diseases of vocal cords and larynx; not elsewhere classified
J39,X Diseases of the respiratory system,Other diseases of upper respiratory tract,Other diseases of upper respiratory tract
J40,X Diseases of the respiratory system,Chronic lower respiratory diseases,Bronchitis; not specified as acute or chronic
J41,X Diseases of the respiratory system,Chronic lower respiratory diseases,Simple and mucopurulent chronic bronchitis
J42,X Diseases of the respiratory system,Chronic lower respiratory diseases,Unspecified chronic bronchitis
J43,X Diseases of the respiratory system,Chronic lower respiratory diseases,Emphysema
J44,X Diseases of the respiratory system,Chronic lower respiratory diseases,Other chronic obstructive pulmonary disease
J45,X Diseases of the respiratory system,Chronic lower respiratory diseases,Asthma
J46,X Diseases of the respiratory system,Chronic lower respiratory diseases,Status asthmaticus
J47,X Diseases of the respiratory system,Chronic lower respiratory diseases,Bronchiectasis
J60,X Diseases of the respiratory system,Lung diseases due to external agents,Coalworker's pneumoconiosis
J61,X Diseases of the respiratory system,Lung diseases due to external agents,Pneumoconiosis due to asbestos and other mineral fibres
J62,X Diseases of the respiratory system,Lung diseases due to external agents,Pneumoconiosis due to dust containing silica
J63,X Diseases of the respiratory system,Lung diseases due to external agents,Pneumoconiosis due to other inorganic dusts
J64,X Diseases of the respiratory system,Lung diseases due to external agents,Unspecified pneumoconiosis
J65,X Diseases of the respiratory system,Lung diseases due to external agents,TBC
J66,X Diseases of the respiratory system,Lung diseases due to external agents,Airway disease due to specific organic dust
J67,X Diseases of the respiratory system,Lung diseases due to external agents,Hypersensitivity pneumonitis due to organic dust
J68,X Diseases of the respiratory system,Lung diseases due to external agents,Respiratory conditions due to inhalation of chemicals; gases; fumes and vapours
J69,X Diseases of the respiratory system,Lung diseases due to external agents,Pneumonitis due to solids and liquids
J70,X Diseases of the respiratory system,Lung diseases due to external agents,Respiratory conditions due to other external agents
J80,X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,Adult respiratory distress syndrome
J81,X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,Pulmonary oedema
J82,X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,Pulmonary eosinophilia; not elsewhere classified
J83,X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,TBC
J84,X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,Other interstitial pulmonary diseases
J85,X Diseases of the respiratory system,Suppurative and necrotic conditions of lower respiratory tract,Abscess of lung and mediastinum
J86,X Diseases of the respiratory system,Suppurative and necrotic conditions of lower respiratory tract,Pyothorax
J90,X Diseases of the respiratory system,Other diseases of pleura,Pleural effusion; not elsewhere classified
J91,X Diseases of the respiratory system,Other diseases of pleura,Pleural effusion in conditions classified elsewhere
J92,X Diseases of the respiratory system,Other diseases of pleura,Pleural plaque
J93,X Diseases of the respiratory system,Other diseases of pleura,Pneumothorax
J94,X Diseases of the respiratory system,Other diseases of pleura,Other pleural conditions
J95,X Diseases of the respiratory system,Other diseases of the respiratory system,Postprocedural respiratory disorders; not elsewhere classified
J96,X Diseases of the respiratory system,Other diseases of the respiratory system,Respiratory failure; not elsewhere classified
J97,X Diseases of the respiratory system,Other diseases of the respiratory system,TBC
J98,X Diseases of the respiratory system,Other diseases of the respiratory system,Other respiratory disorders
J99,X Diseases of the respiratory system,Other diseases of the respiratory system,Respiratory disorders in diseases classified elsewhere
K00,XI Diseases of the digestive system,Diseases of oral cavity; salivary glands and jaws,Disorders of tooth development and eruption
K01,XI Diseases of the digestive system,Diseases of oral cavity; salivary glands and jaws,Embedded and impacted teeth
K02,XI Diseases of the digestive system,Diseases of oral cavity; salivary glands and jaws,Dental caries
K03,XI Diseases of the digestive system,Diseases of oral cavity; salivary glands and jaws,Other diseases of hard tissues of teeth
K04,XI Diseases of the digestive system,Diseases of oral cavity; salivary glands and jaws,Diseases of pulp and periapical tissues
K05,XI Diseases of the digestive system,Diseases of oral cavity; salivary glands and jaws,Gingivitis and periodontal diseases
K06,XI Diseases of the digestive system,Diseases of oral cavity; salivary glands and jaws,Other disorders of gingiva and edentulous alveolar ridge
K07,XI Diseases of the digestive system,Diseases of oral cavity; salivary glands and jaws,Dentofacial anomalies [including malocclusion]
K08,XI Diseases of the digestive system,Diseases of oral cavity; salivary glands and jaws,Other disorders of teeth and supporting structures
K09,XI Diseases of the digestive system,Diseases of oral cavity; salivary glands and jaws,Cysts of oral region; not elsewhere classified
K10,XI Diseases of the digestive system,Diseases of oral cavity; salivary glands and jaws,Other diseases of jaws
K11,XI Diseases of the digestive system,Diseases of oral cavity; salivary glands and jaws,Diseases of salivary glands
K12,XI Diseases of the digestive system,Diseases of oral cavity; salivary glands and jaws,Stomatitis and related lesions
K13,XI Diseases of the digestive system,Diseases of oral cavity; salivary glands and jaws,Other diseases of lip and oral mucosa
K14,XI Diseases of the digestive system,Diseases of oral cavity; salivary glands and jaws,Diseases of tongue
K20,XI Diseases of the digestive system,Diseases of oesophagus; stomach and duodenum,Oesophagitis
K21,XI Diseases of the digestive system,Diseases of oesophagus; stomach and duodenum,Gastro-oesophageal reflux disease
K22,XI Diseases of the digestive system,Diseases of oesophagus; stomach and duodenum,Other diseases of oesophagus
K23,XI Diseases of the digestive system,Diseases of oesophagus; stomach and duodenum,Disorders of oesophagus in diseases classified elsewhere
K24,XI Diseases of the digestive system,Diseases of oesophagus; stomach and duodenum,TBC
K25,XI Diseases of the digestive system,Diseases of oesophagus; stomach and duodenum,Gastric ulcer
K26,XI Diseases of the digestive system,Diseases of oesophagus; stomach and duodenum,Duodenal ulcer
K27,XI Diseases of the digestive system,Diseases of oesophagus; stomach and duodenum,Peptic ulcer; site unspecified
K28,XI Diseases of the digestive system,Diseases of oesophagus; stomach and duodenum,Gastrojejunal ulcer
K29,XI Diseases of the digestive system,Diseases of oesophagus; stomach and duodenum,Gastritis and duodenitis
K30,XI Diseases of the digestive system,Diseases of oesophagus; stomach and duodenum,Dyspepsia
K31,XI Diseases of the digestive system,Diseases of oesophagus; stomach and duodenum,Other diseases of stomach and duodenum
K35,XI Diseases of the digestive system,Diseases of appendix,Acute appendicitis
K36,XI Diseases of the digestive system,Diseases of appendix,Other appendicitis
K37,XI Diseases of the digestive system,Diseases of appendix,Unspecified appendicitis
K38,XI Diseases of the digestive system,Diseases of appendix,Other diseases of appendix
K40,XI Diseases of the digestive system,Hernia,Inguinal hernia
K41,XI Diseases of the digestive system,Hernia,Femoral hernia
K42,XI Diseases of the digestive system,Hernia,Umbilical hernia
K43,XI Diseases of the digestive system,Hernia,Ventral hernia
K44,XI Diseases of the digestive system,Hernia,Diaphragmatic hernia
K45,XI Diseases of the digestive system,Hernia,Other abdominal hernia
K46,XI Diseases of the digestive system,Hernia,Unspecified abdominal hernia
K50,XI Diseases of the digestive system,Noninfective enteritis and colitis,Crohn's disease [regional enteritis]
K51,XI Diseases of the digestive system,Noninfective enteritis and colitis,Ulcerative colitis
K52,XI Diseases of the digestive system,Noninfective enteritis and colitis,Other noninfective gastroenteritis and colitis
K55,XI Diseases of the digestive system,Other diseases of intestines,Vascular disorders of intestine
K56,XI Diseases of the digestive system,Other diseases of intestines,Paralytic ileus and intestinal obstruction without hernia
K57,XI Diseases of the digestive system,Other diseases of intestines,Diverticular disease of intestine
K58,XI Diseases of the digestive system,Other diseases of intestines,Irritable bowel syndrome
K59,XI Diseases of the digestive system,Other diseases of intestines,Other functional intestinal disorders
K60,XI Diseases of the digestive system,Other diseases of intestines,Fissure and fistula of anal and rectal regions
K61,XI Diseases of the digestive system,Other diseases of intestines,Abscess of anal and rectal regions
K62,XI Diseases of the digestive system,Other diseases of intestines,Other diseases of anus and rectum
K63,XI Diseases of the digestive system,Other diseases of intestines,Other diseases of intestine
K64,XI Diseases of the digestive system,Other diseases of intestines,Haemorrhoids and perianal venous thrombosis
K65,XI Diseases of the digestive system,Diseases of peritoneum,Peritonitis
K66,XI Diseases of the digestive system,Diseases of peritoneum,Other disorders of peritoneum
K67,XI Diseases of the digestive system,Diseases of peritoneum,Disorders of peritoneum in infectious diseases classified elsewhere
K70,XI Diseases of the digestive system,Diseases of liver,Alcoholic liver disease
K71,XI Diseases of the digestive system,Diseases of liver,Toxic liver disease
