study_id,extracted_data,checked_data,first_author,title,duplicate_intervention,study_year,doi,source,include,exclusion _reason,mmat_s1_clear_research_questions,mmat_s2_appropriate_methods,mmat_pass_screening,mmat_study_type,mmat_q1,mmat_q2,mmat_q3,mmat_q4,mmat_q5,mmat_all_yes,mmat_comments,country,region,region2,setting,ost_medication_type,years_implemented,first_year,first_year_group,elements,type,intervention_description,population / participants,subgroup,sample,age,comparison_group,outcome_measures,study_design,Brief description of study findings,conclude_effective
66,NT,GW,Stewart,Emergency department-based efforts to offer medication treatment for opioid use disorder: What can we learn from current approaches?,,2021,10.1016/j.jsat.2021.108479,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,DL,NT ,Hu,Buprenorphine/naloxone induction in a Canadian emergency department with rapid access to community-based addictions providers,,2019,10.1017/cem.2019.24,database 1,yes,include,yes,yes,yes,quantitative descriptive,yes,yes,yes,yes,cannot tell,no,"No comparison for the retention in buprenorphine. Secondary result ""Patients with ongoing treatment had significantly lower number of ED visits at 3 and 6"" may be confounded by health/social factors.",Canada,Ontario,Ontario,ED,Buprenorphine,2017,2017,2015-2019,"OAT guidance or protocol;Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Training and education in relation to OAT",ed_ost,"ED staff were offered training on opioid use disorder and OAT. The hospital developed a buprenorphine/naloxone protocol. Patients in ED were screened for opioid withdrawal (using a COWS scale).  Eligible patients were offered initiation of buprenorphine and rapid titration in ED. The patient was discharged with a prescription for up to three daily observed doses and a referral to a 'Rapid Access Addiction Clinic', which can continue the prescription. ",Patients in ED with opioid use disorder and opioid withdrawal (at least 'mild' using a COWS scale). Those who used opioids in the past 12 hours or have a current methadone prescription were not eligible,,49,Mean 37 (sd 12.3),None,"Consent to receive buprenorphine, ongoing buprenorphine treatment 6 months after ED visit",case series,"43/49 (88%) of patients consented to start buprenorphine. Of these, 15/43 (35%) remained in treatment after six months. Patients remaining in treatment had a lower rate of repeat ED visits than those not in treatment.",yes
69,DL,NT ,Herring,High-Dose Buprenorphine Induction in the Emergency Department for Treatment of Opioid Use Disorder,,2021,10.1001/jamanetworkopen.2021.17128,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,DL,NT ,Herring,Managing Opioid Withdrawal in the Emergency Department With Buprenorphine,,2019,10.1016/j.annemergmed.2018.11.032,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,GW,NT ,Roy,Shorter outpatient wait-times for buprenorphine are associated with linkage to care post-hospital discharge.,,2021,10.1016/j.drugalcdep.2021.108703,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,GW,NT ,Plawman,Residency-based addiction medicine services improve quality and access to care,,2019,10.1097/ADM.0000000000000548,database 1,no ,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,GW,NT ,McLane,Multi-site intervention to improve emergency department care for patients who live with opioid use disorder: A quantitative evaluation.,,2020,10.1017/cem.2020.438,database 1,yes,include,yes,yes,yes,quantitative non-randomised,yes,yes,yes,no,yes,no,"Time series of buprenorphine initiations in hospitals with the intervention compared to hospitals without the intervention. No formal  estimate of the effect of the intervention, but the graphical comparison is clear",Canada,Alberta,Alberta,ED,Buprenorphine,2018,2018,2015-2019,"OAT guidance or protocol;Training and education in relation to OAT;Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers)",ed_ost,Development of protocol to guide inpatient/outpatient initiation of OAT (bup/nalox; protocol based on COWS) across several ED departments in Alberta region,"18 years old and older,  Suspicion of opioid use disorder,” and “Patient willing to engage in buprenorphine/naloxone.”",,"382 total. 47 receiving bup/nalox on discharge), discharged patients with opioid-related ED visits NOT receiving buprenorphine/naloxone 335",Median 34 (median 33 in discharged patients not receiving buperenorphine),None,"Number filling OAT prescription at 30 days, 60 days and 90 days after their first ED visit",time series,"Thirty-five of 47 patients (74.4%) discharged from the ED
with buprenorphine/naloxone continued to fill opioid agonist
treatment prescriptions 30 days and 60 days after their index
ED visit. Thirty-four patients (72.3%) filled prescriptions at 90
days.

The participating ED sites referred 37 patients to the
three participating clinics, and 16 of those individuals (43%) attended their first community follow-up appointments.",yes
51,GW,NT ,Martin,Effects on ED Provider Satisfaction After Initiating an ED-MAT Program,,2020,10.1097/ADM.0000000000000742,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,GW,NT ,Hartman,Bridge over troubledwaters from ed to outpatient treatment: path to recovery,,2021,10.1097/ADM.0000000000000902,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,GW,NT ,Hawk,Barriers and Facilitators to Clinician Readiness to Provide Emergency Department-Initiated Buprenorphine.,,2020,10.1001/jamanetworkopen.2020.4561,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,GW,NT ,Gruber,Development of a sustainable curriculum on substance use disorders for emergency medicine residents at cooper university hospital,,2017,https://escholarship.org/uc/item/6p29c8pn,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,NT,GW,Holland,Interrupted Time Series of User-centered Clinical Decision Support Implementation for Emergency Department-initiated Buprenorphine for Opioid Use Disorder,,2020,10.1111/acem.14002,database 1,yes,include,yes,yes,yes,quantitative non-randomised,yes,yes,yes,no,yes,no,"Regression was used to adjust for differences in age, race, sex, the number of waivered physicians, naloxone prescription within the past 24 months, and OUD diagnosis on problems list. Additional temporal trends could have occurred that were not adjusted and remain as confounders.",United States,Connecticut,Northeast states,ED,Buprenorphine,2018-2019 (April 2018 to December 2019),2018,2015-2019,OAT guidance or protocol;Training and education in relation to OAT;Electronic workflow that prompts staff to screen patients or supports other aspects of OAT,ed_ost,"User-centered computerized clinical decision support system (CDS) to guide emergency clinicians through the process of BUP initiation. The intervention is launched by the clinician within the EHR. It offers three decision support tools to inform selection of the appropriate care pathway through the diagnosis of OUD, assessment of withdrawal severity, and motivation of patient readiness to start treatment for OUD. The clinician can choose to use all, some, or none of these tools. Once the care pathway is selected, the  application automates a series of EHR activities specific to that pathway including appropriate orders, prescriptions, documentation, discharge instructions, and referral to a community provider of MOUD. ",,,574 pre-implementation phase; 332 implementation phase,"Pre-implementation: Mean 40.2 (SD: 12.6), Implementation: 39.4 (SD: 12.1)",None,"PRIMARY: rate of ED-initiated BUP. SECONARY: launch of the intervention, prescription for naloxone at ED discharge, and referral for ongoing addiction treatment ",before vs. after,"The rate of BUP initiation increased from 3.5% (20/574) in the pre-implementation phase to 6.6% (22/332) in the implementation phase (p = 0.03).

After the temporal trend of the number of physician’s with X-waiver training and other covariates were adjusted for, the relative risk of BUP initiation rate was 2.73 (95% confidence interval [CI] = 0.62 to 12.0, p = 0.18)

The number of unique attendings who initiated BUP increased modestly 7/53 (13.0%) to 13/57 (22.8%, p = 0.10) after offering just-in time training during the implementation period. The rate of naloxone prescribed at discharge also increased (6.5% pre-implementation and 11.5% implementation; p < 0.01).
Added: Secondary outcomes probably also worth adding: The rate of referral for ongoing MOUD treatment was 16.9% preimplementation and 18.1% in the implementation phase (p = 0.65)
Interesting that %faculty with X-waiver status doubled in pre-implementation phase without much explanation why - then adjusting for X-waiver status lost significance for ED BUP initiation rate.",yes
77,NT,GW,Fujita,Treating Withdrawal and Pain in Inpatients With Opioid Use Disorder: A Brief Educational Intervention for Internal Medicine Residents.,,2021,10.15766/mep_2374-8265.11123,database 1,yes,include,yes,yes,yes,quantitative descriptive,yes,yes,yes,no,yes,no,"The response rate for the pre-post surveys was 28 and 29 people out of 103
",United States,Pennsylvania,Northeast states,medical wards,Methadone and buprenorphine,2019-2020 (November 2019 - January 2020),2019,2015-2019,Training and education in relation to OAT,building_capacity,"An educational intervention for internal medicine residents on management of inpatient opioid withdrawal with OAT and management of acute pain in patients on maintenance OAT. The authors developed a case-based presentation highlighting the management of inpatient opioid withdrawal and acute pain in inpatients on maintenance OAT. The presentation was delivered monthly by a Chief Medical Resident (CMR) during the preexisting 1-hour rotation orientation, which consisted of a 25-minute abbreviated orientation including rotation-specific information, daily schedules, and announcements followed by this 35-minute educational intervention.",Internal medicine residents at all training levels ,,"103 residents completed the training, 29 completed the pre and post survey ",unknown,None,Participant knowledge and participant confidence in prescribing opioid agonist therapy in in patients with OUD; and self-reported frequency of prescribing OAT in the inpatient setting.,before vs. after,"Of 103 unique residents completing ward rotations from November 2019 to January 2020, 29 (28%) completed both the pre- and 1-month post surveys and were included in the analysis. The mean number of knowledge questions correct increased from 3.1 pre- to 4.3 postintervention, and mean confidence scores increased from below 2 pre- to over 3 postintervention in four of five items (ps < .001).

Of the 29 residents included, 11 (38%) indicated that they had treated a patient experiencing opioid withdrawal with OAT during their most recent floor month postintervention compared to five (27%) preintervention (p = .078)",yes
78,NT,GW,Fujita,Re-establishing a healing relationship: A brief educational intervention for residents on treating withdrawal and pain in inpatients with opioid use disorder,,2020, 10.1007/s11606-020-05890-3],database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,GW,NT ,Gertner,Universal screening for substance use by Peer Support Specialists in the Emergency Department is a pathway to buprenorphine treatment.,,2021,10.1016/j.abrep.2021.100378,database 1,yes,include,yes,yes,yes,quantitative descriptive,no,cannot tell,yes,cannot tell,no,no,"PSS administered TAPS-1 only 20h a week (limited number of working hours), likely not representing all ED users. No details given on rates of non-responsive and baseline characteristics of participants aside from substances used. No mention of performance (e.g. number of bup prescriptions in ED) prior to the intervention. Small sample size of participants with OUD who ended up receiving bup in ED (only 7); unclear whether 7 participants admitted to hospital were given OAT",United States,North Carolina,Southern states,ED,Buprenorphine,2019,2019,2015-2019,Peer support for patients who need OAT,ed_ost,Use of Peer Support Specailists to administer TAPS-1 SUD screening questionnaire,ED attendees during working hours of PSS,,23 participants screened positive for OUD,unknown,None,"Number admitted to hospital (7/23), Number initiated on buprenorphine in ED (7/23), Number of patients started on buprenorphine in ED who attending communtity appt (4/7)",case series,"1037 patients were screened for SUD, and, of these, 238 (23%) screened positive. The distribution of primary substance used was: 51% alcohol, 26% cannabis, 7.5% cocaine, 7.5% heroin, and 3.3% prescription opioids. Of the 23 patients who screened positive for heroin/opioid use and requested treatment, seven were admitted to the hospital. Of the remaining 16 patients, 14 patients wanted buprenorphine treatment, seven were provided buprenorphine in the ED, and four of these attended their intake appointments for community-based MOUD treatment.",yes
47,MW,NT ,Trowbridge,Addiction consultation services - Linking hospitalized patients to outpatient addiction treatment,,2017,10.1016/j.jsat.2017.05.007,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,NT,GW,Foster,Providing Incentive for Emergency Physician X-Waiver Training: An Evaluation of Program Success and Postintervention Buprenorphine Prescribing.,,2020,10.1016/j.annemergmed.2020.02.020,database 1,yes,include,yes,yes,yes,quantitative descriptive,yes,yes,yes,yes,yes,yes,Post intervention survey response rate of 68.6% (46/67). 89% completed the training.,United States,Pennsylvania,Northeast states,ED,Buprenorphine,2018,2018,2015-2019,Training and education in relation to OAT,ed_ost,Training: The American Society of Addiction Medicine course on x-wavier training for emergency physicians. Physicians were offered 750USD to complete it. ,Emergency department physicians ,,63,unknown,None,"PRIMARY: number of physicians who completed the training. SECONDARY: (1) ratio of buprenorphine prescriptions to opioid use disorder encounters, (2) percentage of opioid use disorder encounters in which a prescription was issued",before vs. after,"In 3 urban, academic emergency departments (EDs), a onetime $750 incentive increased the proportion of emergency physicians with X waivers from 6% to 90%. Buprenorphine prescribing rates increased to 15% (from <1%) during the first 4 months of the program, although there was variability among sites.",yes
80,DL,NT,Fard,"Implementation of a protocol to control pain, agitation and delirium in the patients admitted to intensive care unit with opioid drug dependency: A feasibility study",,2017,https://www.alliedacademies.org/articles/implementation-of-a-protocol-to-control-pain-agitation-and-delirium-in-the-patients-admitted-to-intensive-care-unit-with-opioid-dr-7177.html,database 1,yes,include,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,DL,NT,Ray,Addiction Management in Hospitalized Patients With Intravenous Drug Use-Associated Infective Endocarditis,,2020,10.1016/j.psym.2020.06.019,database 1,yes,include,yes,yes,yes,quantitative non-randomised,yes,yes,yes,no,yes,no,"Lack of adjustment for differences between pre- and post-intervention patients, and the lack of control. However, the design is appropriate to answering the question of whether OAT initiation increased.",United States,Wisconsin,Midwest states,medical wards,Methadone and buprenorphine,2017-2018,2017,2015-2019,OAT guidance or protocol;Training and education in relation to OAT;Multidisciplinary patient review;Improving specialty-specific care for patients who are dependent on opioids,building_capacity,"Multicomponent intervention to improve addiction care for patients with drug injection-related endocarditis requiring surgery. The intervention included (1) a new care pathway, including addiction assessment and OAT initiation; (2) creation of a multidisciplinary team including cardiologists, vascular surgery, and addiction specialists that managed the quality improvement project; (3) training and education on the new pathway for clinicians working with these patients.",Patients with drug injection-related endocarditis,Preparing for surgery or recovering from surgery,70 (37 before intervention and 33 after),Median 31 (IQR 25-52),None,"Use of behavioural interventions during admission, OAT on discharge, length of stay, 90-day readmission (all cause, and for endocarditis)",before vs. after,"Before implementation, 7/37 (19%) had OAT at discharge, and 29/37 (78%) had a behavioural consultation. After implementation, 18/33 (55%) had OAT at discharge, and 33/33 (100%) had a behavioural consultation. These changes were statistically significant. There was no evidence of a change in length of stay or readmission.",yes
82,MB,NT ,Dunham,"Buprenorphine in the ED: A review of practices, barriers, and future directions",,2021,10.1111/ajad.13173,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,MB,NT ,D'Onofrio,Emergency Department-Initiated Buprenorphine for Opioid Dependence with Continuation in Primary Care: Outcomes During and After Intervention,,2017,10.1007/s11606-017-3993-2,database 1,no,no relevant outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,GW,NT ,Grunvald,COVID-19: A new barrier to treatment for opioid use disorder in the emergency department.,,2021,10.1002/emp2.12403,database 1,no,no relevant outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,GW,NT ,Cushman,Buprenorphine initiation and linkage to outpatient buprenorphine treatment does not reduce frequency of injection drug use for inpatient opioid-dependent injection drug users: Results of a randomized clinical trial,,2016,10.1016/j.jsat.2016.06.003,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,GW,NT ,Farrell,Implementation of an emergency department-initiated opioid dependence treatment pathway,,2019,10.1080/15563650.2019.1636569,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,GW,NT ,Cisewski,Approach to buprenorphine use for opioid withdrawal treatment in the emergency setting.,,2019,10.1016/j.ajem.2018.10.013,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,GW,NT ,Button,Low-dose Buprenorphine Initiation in Hospitalized Adults With Opioid Use Disorder: A Retrospective Cohort Analysis.,,2022,10.1097/ADM.0000000000000864,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,NT,GW,Bottner,"The development and implementation of a ""B-Team"" (buprenorphine team) to treat hospitalized patients with opioid use disorder",,2021,10.1016/j.hjdsi.2021.100579,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,NT,GW,Bhatraju,Low Dose Buprenorphine Induction With Full Agonist Overlap in Hospitalized Patients With Opioid Use Disorder: A Retrospective Cohort Study,,2022,10.1097/ADM.0000000000000947,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,NT,GW,Beauchamp,Implementation of a Medication for Addiction Treatment (MAT)and Linkage Program by Leveraging Community Partnerships and Medical Toxicology Expertise,,2021,10.1007/s13181-020-00813-4,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,MB,NT ,AHC,Emergency Clinicians Steer Patients With Substance Use Problems Into Effective Treatment.,,2018,https://www.reliasmedia.com/articles/143386-emergency-clinicians-steer-patients-with-substance-use-problems-into-effective-treatment,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,NT,GW,Barnett,Linking opioid-dependent hospital patients to drug treatment: Health care use and costs 6 months after randomization,,2006,10.1111/j.1360-0443.2006.01636.x,database 1,no,no relevant outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,VH,NT ,Raheemullah,Buprenorphine Induction Without Opioid Withdrawal: A Case Series of 15 Opioid-Dependent Inpatients Induced on Buprenorphine Using Microdoses of Transdermal Buprenorphine.,,2019,10.1097/MJT.0000000000001108,database 1,no,wrong population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,VH,NT ,Ahmed,Microinduction of Buprenorphine/Naloxone: A Review of the Literature.,,2021,10.1111/ajad.13135,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,VH,NT ,Calello,Addiction consultation and medication-assisted treatment hotline support through the poison center,,2020,10.1080/15563650.2020.1804238,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,NT,GW,Alexandridis,"Associations between implementation of Project Lazarus and opioid analgesic dispensing and buprenorphine utilization in North Carolina, 2009-2014.",,2019,10.1186/s40621-018-0179-2,database 1,no,wrong population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,DL,NT ,Cushman,Buprenorphine initiation and linkage to outpatient buprenorphine treatment does not reduce frequency of injection drug use for inpatient opioid-dependent injection drug users: Results of a randomized clinical trial,,2016,10.1016/j.jsat.2016.06.003,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,DL,NT,Dale,An Acute Pain Service experience initiating methadone for opioid use disorder in hospitalized patients with acute pain,,2019,10.5055/jom.2019.0513,database 1,no,unable to access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,DL,NT ,Christian,Buprenorphine team increases inpatient treatment and outpatient follow-up for MOUD,,2021,10.1097/ADM.0000000000000902,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,DL,NT ,Christian,Team-Based Model Increases Initiation of Buprenorphine for Hospitalized Patients with OUD,,2020,10.1097/ADM.0000000000000742,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,DL,NT ,Samuels,"Corrigendum to ""Peer navigation and take-home naloxone for opioid overdose emergency department patients: Preliminary patient outcomes"".",,2018,10.1016/j.jsat.2018.07.013,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,DL,NT ,Farrar,Bridging the gap: The impact of an inpatient medical substance use group on knowledge gains and outpatient mat follow-up among opioid-using iv antibiotic patients,,2019,10.1007/s11606-019-05007-5,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,DL,NT ,Eleanya,Impact of interim buprenorphine prescribing on discharge from inpatient detox on hospital readmissions,,2019,10.1007/s11606-019-05007-5,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,DL,NT ,Callister,"Experiences with an addiction consultation service on care provided to hospitalized patients with opioid use disorder: A qualitative study of hospitalists, nurses, pharmacists, and social workers",,2022,10.1080/08897077.2021.1975873,database 1,yes,include,yes,yes,yes,qualitative,yes,yes,yes,yes,yes,yes,,United States,Colorado,Western states,hospital-wide,Methadone and buprenorphine,2019-2020,2019,2015-2019,"Multidisciplinary patient review;Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Providing advice about OAT to primary medical teams",addiction_consult,"An addiction consult service at two acute hospitals. The service is staffed by medical doctors trained in addiction medicine and two social workers specialising in addictions. The doctors initiate methadone and buprenorphine for hospital inpatients, and manage postoperative pain for patients who are on methadone or buprenorphine. Social workers provide counselling and referrals to community services. The service operates during weekdays.",Clinicians and social workers at the two hospitals.,,62,unknown,None,Not applicable,qualitative,"Three themes: (1) the addiction consult team led to greater use of methadone and buprenorphine; (2) care for opioid use disorder and use of OAT varied; even with the addiction consult team; (3) challenges with pain management for patient with opioid use disorder persisted even with the addiction consult team. Overall the study identified ""beneficial changes and ongoing challenges"". Benefits ""may be limited to patient cared for by selected physicians who consult the ACS ... This leads to unequal care"".",yes
106,DL,NT ,Callister,"Experiences with an addiction consultation service on care provided to hospitalized patients with opioid use disorder: a qualitative study of hospitalists, nurses, pharmacists, and social workers",,2022,10.1080/08897077.2021.1975873,database 1,no,duplicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,VH,NT ,Wang,Effect of Inpatient Medication-Assisted Therapy on Against-Medical-Advice Discharge and Readmission Rates.,,2020,10.1016/j.amjmed.2020.04.025,database 1,yes,include,yes,yes,yes,quantitative non-randomised,yes,yes,cannot tell,no,yes,no,Before and after study with no control group,United States,New Hampshire,Northeast states,ED,Buprenorphine,2018,2018,2015-2019,"OAT guidance or protocol;Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Training and education in relation to OAT;Electronic workflow that prompts staff to screen patients or supports other aspects of OAT",building_capacity,"Development and implementation of ""inpatient buprenorphine protocol for patients presenting with direct complications of intravenous opioid use disorder"". The protocol was used for any patient deemed a candidate for buprenorphine therapy based on usual outpatient guidelines who was not already on outpatient maintenance methadone or buprenorphine. A new opioid withdrawal flowsheet was added to the electronic medical record. A substantial educational effort was under-taken to train staff about OAT the protocol.","""patients presenting with direct complications (such as endocarditis, osteomyelitis, discitis, bacteremia, injection site cellulitis/abscess, epidural abscess, or septic arthritis + Acute hepatitis and acute HIV ) of intravenous opioid use disorder"" 
""Patients were excluded if they presented with a primary diagnosis not directly related to intravenous opioid use. Additionally, the substance use must have included opioids"". ""Because patients in law enforcement custody cannot sign out against medical advice, they were also excluded.""  ""if a patient was so acutely ill that they would have never been a candidate for buprenorphine, such as immediately being intubated, they were excluded.""",,"147; 71 before, 76 after","""35.9 years"" (type of average unclear)",None,"PRIMARY: against-medical-advice dis-charge rate and readmissions rate, including 30- and 90-day all-cause and opioid-related readmissions; SECONDARY: mortality, rate of buprenorphine linkage, rate of medication-assisted therapy use, and length of stay for patients with endocarditis or osteomyelitis",before vs. after,"""Rates of medication-assisted therapy usage and buprenorphine linkage increased significantly after protocol rollout. Rates of against-medical-advice discharge did not decrease after protocol rollout, nor did readmissions. However, when evaluating the entire group of patients regardless of date of presentation or protocol use, against-medical-advice discharge rates were substantially lower for patients receiving medication-assisted therapy compared with those receiving supportive care only (30.0% vs 59.6%). Read-missions rates were lower for patients who were discharged with any form of ongoing medication-assisted therapy compared with those who were not (30-day all-cause readmissions 18.8% vs 35.1%; 30-day opioid-related readmissions 10.1% vs 29.9%; 90-day all-cause readmissions 27.3% vs 42.7%; 90-day opioid-related readmissions 15.1% vs 33.3%).""",yes
107,GW,NT ,Calcaterra,The Development and Implementation of a Hospitalist-Directed Addiction Medicine Consultation Service to Address a Treatment Gap.,,2021,10.1007/s11606-021-06849-8,database 1,yes,include,yes,yes,yes,quantitative descriptive,yes,yes,yes,no,yes,no,No indication of number of participants with OUD identified who qualified for OAT; only total number identified with OUD and total number enrolled onto bup/methadone programmes,United States,Colorado,Western states,medical wards,Methadone and buprenorphine,2019-20,2019,2015-2019,"Multidisciplinary patient review;Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Training and education in relation to OAT;Providing advice about OAT to primary medical teams",addiction_consult,"Development of hospitalist-directed addiction consultation service, including hospitalists and social workers. The service provdied education of hospitalists (lecture series + X-waiver + Addiction medicine shadowing shifts). The ACS initiates bup/naloxone for OUD when appropriate; then links patients to post-hospital discharge care.",,,400 participants with OUD (1350 with SUD total),Mean 44.3 for all substance use disorder group,None,"Number of hospitalists trained within ACS programme; number of patients with a substance use disorder (including OUD) treated within 14 month window of programme trial; number of new buprenorphine prescription at discharge, 30 days, 60 days, 90 days; number of new enrollments to new opioid treatment programmes.",before vs. after,"'The development and implementation of a hospitalist-directed ACS supported the education and training of 11 hospitalist physicians in the practice of Addiction Medicine and expanded SUD treatment to 1350 hospitalized patients over a 14- month period.'

Study quantifies number of patients receiving buprenorphine at discharge and follow-up; and number of patients enrolled to local mehadone opioid treatment programme. Study does not quantify number of OUD pariticipants qualifying for these two outcomes.

'Patients initiated on buprenorphine or methadone for OUD treatment were linked to care following discharge. Approximately 40% of these patients continued receiving these medications at various time points following discharge'",unclear
109,GW,NT ,Calcaterra,Expanding Access to Addiction Treatment for Inpatients Utilizing Existing Resources,,2020,10.1097/ADM.0000000000000742,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,NT,GW,Busch,Cost-effectiveness of emergency department-initiated treatment for opioid dependence.,,2017,10.1111/add.13900,database 1,no,no relevant outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,NT,GW,Busch,Health service use in a randomized clinical trial comparing three methods of emergency department interventions for opioid dependence,,2015,10.1016/j.drugalcdep.2015.07.1005,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,NT,GW ,Burton,Opioid use disorder patients in an emergency department buprenorphine program with referral to outpatient therapy,,2020,https://medicine.vtc.vt.edu/past-events/20200327.html,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,NT,GW,Brothers,Unequal access to opioid agonist treatment and sterile injecting equipment among hospitalized patients with injection drug use-associated infective endocarditis,,2022,10.1371/journal.pone.0263156,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,DL,NT ,Bogan,Implementation of emergency department-initiated buprenorphine for opioid use disorder in a rural southern state,,2020,10.1016/j.jsat.2020.02.007,database 1,no,duplicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,DL,NT ,Brothers,"Implementation and evaluation of a novel, unofficial, trainee-organized hospital addiction medicine consultation service",,2021,10.1080/08897077.2020.1856291,database 1,yes,include,yes,yes,yes,quantitative descriptive,yes,yes,yes,yes,yes,yes,Case series of patients seen by addiction consult service,Canada,Nova Scotia,Nova Scotia,hospital-wide,Methadone and buprenorphine,2018-2019,2018,2015-2019,"Multidisciplinary patient review;Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Providing advice about OAT to primary medical teams",addiction_consult,"Unofficial addiction medicine consult team, staffed by internal medicine residents and supervised by community-based addiction physicians. Patients are referred to residents by the usual care team. The residents review patients after their usual work hours, and supervising addiction specialists visit once per week to review patients in-person. The service provides motivational interviewing, initiation of methadone and buprenorphine, harm reduction education, training and dispensing of take-home naloxone, and referrals to community-based services. ",,,59 referrals for 50 unique patients,unknown,None,Proportion of referrals that consented to a consultation; initiation of OAT in-hospital and continuation post-discharge.,case series,59 patients were referred; 53 were offered a consultation. 52/53 (98%) accepted. 34 were eligible for OAT and OAT was offered to all of these patients. 28/34 (82%) accepted OAT initiation and 25/28 (89%) continued after discharge.,yes
120,DL,NT ,Blevins,A descriptive analysis of a multi-disciplinary approach to opioid use disorder treatment within an infectious diseases clinic,,2020,10.1093/ofid/ofaa439.393,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,DL,NT ,Blevins,A Descriptive Analysis of an Opioid Use Disorder Care Continuum in an Infectious Diseases Clinic,,2021,10.1093/ofid/ofab466.1395,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,DL,NT ,Bergman,Reward-based technology to improve opioid use disorder treatment initiation after an emergency department visit,,2021,10.1111/acem.14249,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
